t,cmd_v,cmd_w,slew_v,slew_w,cmd_left_rpm,cmd_right_rpm,fb_left_rpm,fb_right_rpm,left_counts,right_counts,x,y,theta_deg,odom_v,odom_w,odom_v_raw,odom_w_raw,axis1_state,axis2_state
21.793944395000153,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,740442,897487,2.3678357211088428,2.8995991736710316,132.41210653615548,-0.2967373417865523,-0.006937704176725832,-0.3229688471355834,-0.007313440527514823,operation_enabled,operation_enabled
21.81407024400005,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,739430,896467,2.3721714764552293,2.8948523690523356,132.40536144167874,-0.3055296888489004,-0.006516141189186323,-0.3194356413019812,-0.005849398302544914,operation_enabled,operation_enabled
21.834185686000183,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,738419,895445,2.3765087015774515,2.89010262203108,132.3960869367732,-0.3110394530162769,-0.00710897474042973,-0.31975818962174407,-0.008047083782333821,operation_enabled,operation_enabled
21.85429689800003,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,737399,894414,2.3808835523933998,2.885310112952194,132.38681243186767,-0.3155376446879099,-0.007472851294800697,-0.32265715035987674,-0.008048776329093277,operation_enabled,operation_enabled
21.8744074990002,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,736384,893388,2.3852363008375055,2.880540265923295,132.37753792696213,-0.317688836601223,-0.0076959310360158305,-0.32109373560488974,-0.008049020866774744,operation_enabled,operation_enabled
21.894600344000082,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,735881,892879,2.387394251652566,2.878174937093083,132.3724791061046,-0.2559240681732493,-0.006405951854559519,-0.15856118340594555,-0.004372493337786901,operation_enabled,operation_enabled
21.91476707300012,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,734864,891854,2.3917480441507943,2.8734017598643398,132.36573401162784,-0.2809136363284729,-0.006185500100406641,-0.3203569520751963,-0.005837540980346642,operation_enabled,operation_enabled
21.935030688000097,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,733848,890826,2.3961053977566036,2.86862326637817,132.35561636991272,-0.295781850652547,-0.00716920214034106,-0.3191375036752568,-0.008714445101040103,operation_enabled,operation_enabled
21.95525586100007,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,732824,889791,2.4004939133746794,2.863808962938325,132.3463418650072,-0.3060034636357639,-0.007493319267095037,-0.3220905471198316,-0.008003424598344466,operation_enabled,operation_enabled
21.975362899000174,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,731813,888769,2.404826243549096,2.859054750723184,132.33706736010166,-0.3113801416517922,-0.0077090030843804044,-0.3198918367474093,-0.008050447166454703,operation_enabled,operation_enabled
21.99549297800013,-0.3,0.0,-0.3,0.0,-34.72471485641352,-34.72471485641352,-34.7,-34.7,730795,887742,2.4091834419840072,2.854271835024196,132.32947912881534,-0.3152664453921121,-0.0072713057507325,-0.3214117213309679,-0.006579190292781616,operation_enabled,operation_enabled
